Epoch	AUC-21	AUC-22	AUC-23	AUC-24	AUC-25	AUC-26	AUC-Avg	AUC-Mid	AUC-Best	
1100.000000	0.611341	0.554530	0.583874	0.587940	0.703147	0.572072	0.602151	0.585907	0.615343	
1110.000000	0.605123	0.608769	0.576639	0.590131	0.692142	0.506268	0.596512	0.597627	0.615343	
1120.000000	0.614087	0.574465	0.596397	0.588169	0.715958	0.587224	0.612717	0.592283	0.615343	
1130.000000	0.623489	0.532029	0.576255	0.576795	0.708831	0.552634	0.595006	0.576525	0.615343	
1140.000000	0.603395	0.511294	0.576937	0.560456	0.707208	0.572826	0.588686	0.574882	0.615343	
1150.000000	0.593432	0.537518	0.579140	0.586254	0.720676	0.590158	0.601196	0.588206	0.615343	
1160.000000	0.616693	0.508157	0.580533	0.600385	0.726092	0.578364	0.601704	0.590459	0.615343	
1170.000000	0.634106	0.482892	0.570499	0.607516	0.720519	0.578679	0.599035	0.593098	0.615343	
1180.000000	0.637348	0.519892	0.594730	0.605349	0.737315	0.579270	0.612317	0.600040	0.615343	
1190.000000	0.636242	0.561903	0.564163	0.596402	0.736579	0.564821	0.610018	0.580612	0.615343	
1200.000000	0.626945	0.586391	0.592952	0.576922	0.600449	0.578479	0.593690	0.589672	0.615343	
1210.000000	0.624560	0.562660	0.582703	0.595185	0.700024	0.589301	0.609072	0.592243	0.615343	
1220.000000	0.609836	0.572413	0.585651	0.567117	0.702465	0.572998	0.601747	0.579325	0.615343	
1230.000000	0.621705	0.581389	0.580226	0.507845	0.708862	0.571731	0.595293	0.580808	0.615343	
1240.000000	0.624822	0.560090	0.590440	0.464974	0.714691	0.583677	0.589782	0.587059	0.615343	
1250.000000	0.601009	0.568266	0.591493	0.615425	0.727992	0.577262	0.613575	0.596251	0.615343	
1260.000000	0.619204	0.567510	0.585709	0.623839	0.705132	0.562227	0.610603	0.602456	0.615343	
1270.000000	0.611900	0.545461	0.580789	0.596140	0.712385	0.557513	0.600698	0.588465	0.615343	
1280.000000	0.625936	0.553092	0.594290	0.592208	0.740322	0.581128	0.614496	0.593249	0.615343	
1290.000000	0.573404	0.569903	0.593297	0.616952	0.707604	0.555796	0.602826	0.583351	0.615343	
1300.000000	0.510827	0.535091	0.575950	0.599409	0.672358	0.516521	0.568359	0.555521	0.615343	
1310.000000	0.604368	0.557400	0.573889	0.588242	0.686587	0.574718	0.597534	0.581480	0.615343	
1320.000000	0.614651	0.560704	0.598319	0.603415	0.692456	0.567185	0.606122	0.600867	0.615343	
1330.000000	0.620130	0.596377	0.570743	0.590952	0.712876	0.576034	0.611185	0.593665	0.615343	
1340.000000	0.591640	0.565675	0.573382	0.619673	0.686801	0.533095	0.595044	0.582511	0.615343	
1350.000000	0.611703	0.577385	0.581944	0.565444	0.645899	0.570633	0.592168	0.579664	0.615343	
1360.000000	0.600196	0.578643	0.573570	0.591222	0.587339	0.565789	0.582793	0.582991	0.615343	
1370.000000	0.601321	0.527392	0.549232	0.561801	0.634601	0.563089	0.572906	0.562445	0.615343	
1380.000000	0.617961	0.554301	0.577533	0.580327	0.711555	0.581056	0.603789	0.580692	0.615343	
1390.000000	0.626419	0.510191	0.601782	0.596779	0.704673	0.578903	0.603124	0.599280	0.615343	
1400.000000	0.615472	0.511350	0.578603	0.593597	0.703220	0.568264	0.595084	0.586100	0.615343	
1410.000000	0.596577	0.579492	0.581857	0.558792	0.659323	0.580818	0.592810	0.581337	0.615343	
1420.000000	0.581882	0.595534	0.572852	0.560855	0.634287	0.502438	0.574641	0.577367	0.615343	
1430.000000	0.646456	0.556749	0.596904	0.574221	0.721506	0.588832	0.614111	0.592868	0.615343	
1440.000000	0.544515	0.533064	0.601435	0.607073	0.710693	0.584707	0.596915	0.593071	0.615343	
1450.000000	0.623359	0.486412	0.599846	0.598120	0.720380	0.567367	0.599247	0.598983	0.615343	
1460.000000	0.615768	0.554660	0.586987	0.573263	0.686417	0.584454	0.600258	0.585721	0.615343	
1470.000000	0.579731	0.588511	0.539597	0.546107	0.646629	0.587546	0.581354	0.583639	0.615343	
1480.000000	0.617050	0.545328	0.518719	0.596189	0.678686	0.576548	0.588753	0.586368	0.615343	
1490.000000	0.532858	0.522917	0.599966	0.607287	0.672326	0.572644	0.584666	0.586305	0.615343	
1500.000000	0.618767	0.594115	0.576178	0.582560	0.703094	0.583285	0.609666	0.588700	0.615343	
1510.000000	0.616717	0.517555	0.585287	0.599624	0.713090	0.549683	0.596992	0.592455	0.615343	
1520.000000	0.604405	0.576883	0.586810	0.568113	0.693708	0.579734	0.601609	0.583272	0.615343	
1530.000000	0.544998	0.577558	0.587884	0.578734	0.681743	0.579346	0.591711	0.579040	0.615343	
1540.000000	0.629438	0.611949	0.583807	0.530205	0.704264	0.585705	0.607561	0.598827	0.615343	
1550.000000	0.634284	0.528154	0.608017	0.589714	0.738686	0.579853	0.613118	0.598865	0.615343	
1560.000000	0.622405	0.572940	0.601292	0.557427	0.669074	0.583622	0.601127	0.592457	0.615343	
1570.000000	0.639123	0.549955	0.612729	0.607003	0.730464	0.545593	0.614145	0.609866	0.615343	
1580.000000	0.563701	0.557468	0.611574	0.600965	0.690965	0.591411	0.602681	0.596188	0.615343	
1590.000000	0.639324	0.571862	0.615991	0.595472	0.697269	0.578408	0.616387	0.605731	0.616387	
1600.000000	0.652617	0.554772	0.614899	0.629945	0.711888	0.589656	0.625630	0.622422	0.625630	
1610.000000	0.641408	0.543248	0.613764	0.620882	0.720827	0.588285	0.621402	0.617323	0.625630	
1620.000000	0.503369	0.570386	0.601392	0.606436	0.692010	0.593253	0.594474	0.597322	0.625630	
1630.000000	0.643192	0.553024	0.593866	0.614579	0.705893	0.587198	0.616292	0.604222	0.625630	
1640.000000	0.639921	0.586534	0.596832	0.613755	0.692469	0.590517	0.620005	0.605293	0.625630	
1650.000000	0.643751	0.604244	0.599091	0.624655	0.695608	0.590917	0.626378	0.614449	0.626378	
1660.000000	0.640805	0.565942	0.587748	0.623880	0.670464	0.589043	0.612980	0.606462	0.626378	
1670.000000	0.623406	0.531582	0.616858	0.628620	0.728395	0.583299	0.618693	0.620132	0.626378	
1680.000000	0.621511	0.595789	0.581157	0.612002	0.703264	0.560042	0.612294	0.603895	0.626378	
1690.000000	0.627985	0.567157	0.608553	0.623847	0.720273	0.564425	0.618707	0.616200	0.626378	
